Province,Crop,Year,Production_MT
Saskatchewan,"Wheat, winter remaining",2020,152700.0
Saskatchewan,"Wheat, winter remaining",2021,40759.0
Saskatchewan,"Wheat, winter remaining",2022,90693.0
Saskatchewan,"Wheat, winter remaining",2023,64081.0
Saskatchewan,"Wheat, winter remaining",2024,138680.0
Saskatchewan,"Wheat, winter remaining",2025,129613.0
Alberta,"Wheat, winter remaining",2020,160400.0
Alberta,"Wheat, winter remaining",2021,178034.0
Alberta,"Wheat, winter remaining",2022,185064.0
Alberta,"Wheat, winter remaining",2023,173032.0
Alberta,"Wheat, winter remaining",2024,235892.0
Alberta,"Wheat, winter remaining",2025,270208.0
British Columbia,"Wheat, winter remaining",2020,10600.0
British Columbia,"Wheat, winter remaining",2021,12240.0
British Columbia,"Wheat, winter remaining",2022,10453.0
British Columbia,"Wheat, winter remaining",2024,13756.0
British Columbia,"Wheat, winter remaining",2025,21286.0
